tweet_text,cleaned_text,label,disaster_type
"15 Australia wildfires still burning out of control: Authorities warn high temps, strong winds likely to keep heightened fire danger ...",australia wildfire still burning control authority warn high temp strong wind likely keep heightened fire danger,11,Wildfire
RT @ABC7: New York City train derailment investigation focuses on data recorders http://t.co/K7m1vgnhre Speed eyed as possible cause,new york city train derailment investigation focus data recorder speed eyed possible cause,9,Transportation Accident
RT @samanthabarry: Striking image from my sister in Sydney #nswfires Seven major bushfires are burning across New South Wales. http://t.co/…,striking image sister sydney nswfires seven major bushfires burning across new south wale,11,Wildfire
"RT @RollingStone: In the wake of Brazil's deadly nightclub fire, special effects producers for live events are facing added scrutiny: ht ...",wake brazil deadly nightclub fire special effect producer live event facing added scrutiny ht,4,Fire
RT @USATODAY: #BREAKING: Railway company chief: Employee failed to properly set brakes in Quebec train crash http://t.co/rjVUTCF9Kq,breaking railway company chief employee failed properly set brake quebec train crash,9,Transportation Accident
RT @CassVinograd: AP: Death toll tops 600 in Bangladesh garment-factory building collapse; 610 bodies now recovered.,ap death toll top bangladesh garmentfactory building collapse body recovered,1,Building Collapse
RT @OCHAAsiaPac: The numbers you need to know on Super Typhoon #Haiyan #YolandaPH - Updated #infographic #3 http://t.co/DYa9DrCiwQ,number need know super typhoon haiyan yolandaph updated infographic,10,Typhoon
"RT @9NEWS: from http://t.co/GHDZ1Bsc: CO 71 is closed Limon to Brush due to wildfire. Road closure began June 25th, 2012 at 3:41pm. #COFire",co closed limon brush due wildfire road closure began june th pm cofire,11,Wildfire
"Powerful Quake Hits Costa Rica, Tsunami Warning Issued http://t.co/0o4UuN0t",powerful quake hit costa rica tsunami warning issued,2,Earthquake
"RT @ChannelNewsAsia: 3-hr PSI remains at 73 as of 6pm in Singapore, #SGHaze likely to return tomorrow",hr psi remains pm singapore sghaze likely return tomorrow,6,Haze
RT @ddlovato: So sad to hear about the nightclub fire in Brazil. Such a tragedy. Praying for everyone affected down there.,sad hear nightclub fire brazil tragedy praying everyone affected,4,Fire
RT @nytimes: Updated: At least 7 people were injured in shooting by gunman at Los Angeles International Airport http://t.co/aMkeNeWVii,updated least people injured shooting gunman los angeles international airport,8,Shooting
RT @piersmorgan: BREAKING: CNN reports counter-terrorist cops now patrolling major landmarks here in NY after #BostonMarathon explosions.,breaking cnn report counterterrorist cop patrolling major landmark ny bostonmarathon explosion,0,Bombing
"RT @longpre11: For #abflood relief efforts, I'll be donating $0.50 per new follower b/w now and 11pm MT to @RedCrossAB; $1 if ur from #YMM …",abflood relief effort donating per new follower bw pm mt ur ymm,5,Flood
Rain disrupts salvage work in Bangladesh collapse - Houston Chronicle http://t.co/SbyKAIlzyj,rain disrupts salvage work bangladesh collapse houston chronicle,1,Building Collapse
Thank you to the students of RTU for helping out in the repacking! #reliefPH @prcpasigpateros,thank student rtu helping repacking reliefph,5,Flood
#prayfortexas omfg what is happening to this world,prayfortexas omfg happening world,3,Explosion
Typhoon Bopha kills dozens in the Philippines http://t.co/kDRwT4hd via @AJEnglish,typhoon bopha kill dozen philippine via,10,Typhoon
RT @macpowell: Praying for the people of Brazil. Many heavy hearts today because of the lost lives. #prayforbrazil,praying people brazil many heavy heart today lost life prayforbrazil,4,Fire
RT @RyanSimsGrizzly: SO A FUCKING HELICOPTER CRASH LANDED ON A PUB FULL OF PEOPLE BUT MY TIMELINE IS FULL UP OF TRIBUTES TO AN ACTOR YOU ON…,fucking helicopter crash landed pub full people timeline full tribute actor,9,Transportation Accident
Bangladesh: fire ‘kills last survivor of Dhaka factory collapse: A fire broke out in the rubble of a Bangladesh… http://t.co/fVvseupZGJ,bangladesh fire kill last survivor dhaka factory collapse fire broke rubble,1,Building Collapse
"RT @xo_falsehopes: A girl with 83 exs, slash cases here and there, haze suddenly comes up.  WTF IS HAPPENING TO SINGAPORE 😪",girl ex slash case haze suddenly come wtf happening singapore,6,Haze
RT @chardsoriano: Those who want to donate for #YolandaPH victims: http://t.co/Lv3cIVToq2,want donate yolandaph victim,10,Typhoon
"RT @Cmdr_Hadfield: Flooding in Maryborough, Australia - visible as we flew over Tuesday morning, 29 Jan. http://t.co/Vs2oGCKd",flooding maryborough australia visible flew tuesday morning jan,5,Flood
BREAKING: 11yo boy now charged with lighting fires: http://t.co/iZhKm9dspR #NSWfires #sydneyfires #liveblog,breaking yo boy charged lighting fire nswfires sydneyfires liveblog,11,Wildfire
My profile picture is now Martin Richard who was killed in the Boston bombing. Such a young boy with such a big heart. Inspired by @DaneCook,profile picture martin richard killed boston bombing young boy big heart inspired,0,Bombing
RT @WBCSays: “@ABC: Photos of NYC Metro North train derailment.  Good pics of God's revealed wrath. Now lets add a sign &amp; verse! http://t.…,photo nyc metro north train derailment good pic god revealed wrath let add sign verse,9,Transportation Accident
RT @TagaFEUKaKung: UERM really needs help!! Flood is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,uerm really need help flood almost rd floor nursery rescuer whole day rescueph,5,Flood
RT @TheDailyShow: CNN's exclusive report on the Boston Marathon bombing was exclusive because it was completely f**king wrong. http://t.co/…,cnns exclusive report boston marathon bombing exclusive completely fking wrong,0,Bombing
RT @JCassidyMusic: Please keep the town of West Texas and all surrounding areas in your prayers tonight. God be with everyone involved.  ...,please keep town west texas surrounding area prayer tonight god everyone involved,3,Explosion
RT @INGVterremoti: #terremoto Ml:4.3 2012-05-23 21:41:18 UTC Lat=44.87 Lon=11.25 Prof=4.8Km Prov=MODENA,terremoto ml utc lat lon profkm provmodena,2,Earthquake
RT @Willie_30: I just saw the video of the meteor that hit russia thank god i live in the US @DRoseFan_97,saw video meteor hit russia thank god live u,7,Meteor
Venezuela struggles with refinery blaze after deadly blast: PARAGUANA Venezuela (Reuters) - Venezuelan firefight... http://t.co/agJ0xMbb,venezuela struggle refinery blaze deadly blast paraguana venezuela reuters venezuelan firefight,3,Explosion
